epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6079,1.28516,2.44286,1.79846,0.00329,0.98795,0.82982,0.56512,0.59358,2.7591,1.19286,0.00024,0.00024,0.00024
2,17.7853,0.80329,1.19338,1.44919,0.95871,0.27983,0.92133,0.65767,0.71227,2.57369,1.34904,0.000499512,0.000499512,0.000499512
3,25.1614,0.80385,1.00104,1.43067,0.9007,0.87432,0.95678,0.73339,0.7863,2.05774,1.51154,0.000757034,0.000757034,0.000757034
4,32.4148,0.75404,0.87651,1.39564,0.74848,0.71084,0.77492,0.32962,1.43032,2.14374,2.40941,0.00101106,0.00101106,0.00101106
5,39.9378,0.78283,0.86204,1.41718,0.64386,0.54457,0.55626,0.13012,2.14213,2.26717,3.42565,0.00126009,0.00126009,0.00126009
6,47.2465,0.82793,0.82788,1.43436,0.56824,0.50602,0.43004,0.21765,2.17899,2.94893,4.02085,0.00150269,0.00150269,0.00150269
7,54.5081,0.83366,0.80804,1.45412,0.20368,0.36145,0.155,0.05596,2.29729,4.93713,3.47148,0.00173743,0.00173743,0.00173743
8,61.7234,0.79441,0.74383,1.43124,0.53169,0.3012,0.34246,0.16549,1.87373,2.64165,3.09526,0.00190578,0.00190578,0.00190578
9,69.1631,0.80776,0.6896,1.42618,0.11125,0.06024,0.0332,0.00553,4.51276,2.94951,4.77455,0.00187754,0.00187754,0.00187754
10,76.6657,0.82557,0.68297,1.44144,0.08587,0.12048,0.02218,0.00506,4.2869,3.15837,5.26777,0.00184588,0.00184588,0.00184588
11,84.181,0.81545,0.66712,1.42676,0.6362,0.57831,0.55596,0.27988,1.69933,2.31648,2.84077,0.00181093,0.00181093,0.00181093
12,91.8347,0.78377,0.63123,1.39432,0.43102,0.50602,0.40741,0.21874,1.48225,2.45147,2.57144,0.00177281,0.00177281,0.00177281
13,99.5254,0.79031,0.62856,1.42421,0.35733,0.25301,0.15335,0.0569,2.69747,4.6954,3.42911,0.00173168,0.00173168,0.00173168
14,107.412,0.7367,0.59438,1.363,0.4168,0.81928,0.54217,0.21314,1.71508,6.33795,3.0219,0.0016877,0.0016877,0.0016877
15,115.06,0.76729,0.59014,1.39041,0.64639,0.39759,0.43666,0.31994,1.55226,1.62568,1.9426,0.00164105,0.00164105,0.00164105
16,123.077,0.72163,0.57612,1.36109,0.95035,0.92247,0.97727,0.76333,0.88395,0.89068,1.66916,0.00159191,0.00159191,0.00159191
